season,localTeam,visitorTeam,localGoals,visitorGoals,
1970-71,'Atletico de Bilbao',Barcelona,1,1,
1970-71,'Las Palmas','Atletico de Madrid',1,1,
1970-71,'Real Madrid',Valencia,2,0,
1970-71,'Celta de Vigo','Sporting de Gijon',2,0,
1970-71,Elche,Granada,1,1,
1970-71,Espanol,Sevilla,0,1,
1970-71,Sabadell,'Real Sociedad',0,0,
1970-71,Zaragoza,'CD Malaga',0,0,
1970-71,Valencia,'Las Palmas',5,1,
1970-71,'Atletico de Madrid','Atletico de Bilbao',2,0,
1970-71,Barcelona,Zaragoza,5,2,
1970-71,'Sporting de Gijon',Sabadell,3,2,
1970-71,Granada,Espanol,1,0,
1970-71,'CD Malaga','Celta de Vigo',2,1,
1970-71,'Real Sociedad',Elche,2,0,
1970-71,Sevilla,'Real Madrid',3,1,
1970-71,'Las Palmas','Atletico de Bilbao',1,1,
1970-71,'Real Madrid',Granada,3,2,
1970-71,Valencia,Sevilla,0,1,
1970-71,'Celta de Vigo',Barcelona,1,1,
1970-71,Elche,'Sporting de Gijon',5,0,
1970-71,Espanol,'Real Sociedad',0,0,
1970-71,Sabadell,'CD Malaga',5,2,
1970-71,Zaragoza,'Atletico de Madrid',0,1,
1970-71,'Atletico de Bilbao',Zaragoza,3,0,
1970-71,'Atletico de Madrid','Celta de Vigo',3,1,
1970-71,Barcelona,Sabadell,4,1,
1970-71,'Sporting de Gijon',Espanol,0,1,
1970-71,Granada,Valencia,2,2,
1970-71,'Las Palmas',Sevilla,0,0,
1970-71,'CD Malaga',Elche,1,0,
1970-71,'Real Sociedad','Real Madrid',0,0,
1970-71,'Celta de Vigo','Atletico de Bilbao',2,1,
1970-71,Elche,Barcelona,0,1,
1970-71,Espanol,'CD Malaga',1,1,
1970-71,'Real Madrid','Sporting de Gijon',1,1,
1970-71,Sabadell,'Atletico de Madrid',0,2,
1970-71,Sevilla,Granada,1,0,
1970-71,Valencia,'Real Sociedad',0,0,
1970-71,Zaragoza,'Las Palmas',1,1,
1970-71,'Atletico de Bilbao',Sabadell,1,0,
1970-71,'Atletico de Madrid',Elche,3,1,
1970-71,Barcelona,Espanol,3,0,
1970-71,'Sporting de Gijon',Valencia,0,1,
1970-71,Granada,'Las Palmas',1,0,
1970-71,'CD Malaga','Real Madrid',0,2,
1970-71,'Real Sociedad',Sevilla,1,0,
1970-71,Zaragoza,'Celta de Vigo',0,0,
1970-71,Elche,'Atletico de Bilbao',1,1,
1970-71,Espanol,'Atletico de Madrid',0,0,
1970-71,Granada,'Real Sociedad',2,0,
1970-71,'Las Palmas','Celta de Vigo',1,2,
1970-71,'Real Madrid',Barcelona,0,1,
1970-71,Sabadell,Zaragoza,2,1,
1970-71,Sevilla,'Sporting de Gijon',1,1,
1970-71,Valencia,'CD Malaga',1,0,
1970-71,Barcelona,Valencia,0,2,
1970-71,'Atletico de Bilbao',Espanol,2,0,
1970-71,'Atletico de Madrid','Real Madrid',2,2,
1970-71,'Celta de Vigo',Sabadell,1,0,
1970-71,'Sporting de Gijon',Granada,3,2,
1970-71,'Las Palmas','Real Sociedad',4,2,
1970-71,'CD Malaga',Sevilla,1,1,
1970-71,Zaragoza,Elche,1,1,
1970-71,Elche,'Celta de Vigo',1,1,
1970-71,Espanol,Zaragoza,0,0,
1970-71,Granada,'CD Malaga',1,1,
1970-71,'Real Sociedad','Sporting de Gijon',3,1,
1970-71,'Real Madrid','Atletico de Bilbao',1,2,
1970-71,Sabadell,'Las Palmas',0,0,
1970-71,Sevilla,Barcelona,0,1,
1970-71,Valencia,'Atletico de Madrid',1,0,
1970-71,'Atletico de Bilbao',Valencia,0,0,
1970-71,'Atletico de Madrid',Sevilla,4,1,
1970-71,Barcelona,Granada,2,1,
1970-71,'Celta de Vigo',Espanol,1,0,
1970-71,'Las Palmas','Sporting de Gijon',1,2,
1970-71,'CD Malaga','Real Sociedad',0,0,
1970-71,Sabadell,Elche,1,0,
1970-71,Zaragoza,'Real Madrid',0,5,
1970-71,Espanol,Sabadell,3,1,
1970-71,'Sporting de Gijon','CD Malaga',3,0,
1970-71,Granada,'Atletico de Madrid',0,0,
1970-71,'Las Palmas',Elche,2,2,
1970-71,'Real Sociedad',Barcelona,1,0,
1970-71,'Real Madrid','Celta de Vigo',4,0,
1970-71,Sevilla,'Atletico de Bilbao',3,2,
1970-71,Valencia,Zaragoza,2,0,
1970-71,'Atletico de Bilbao',Granada,3,0,
1970-71,'Atletico de Madrid','Real Sociedad',1,0,
1970-71,Barcelona,'Sporting de Gijon',2,0,
1970-71,'Celta de Vigo',Valencia,1,0,
1970-71,Elche,Espanol,1,1,
1970-71,'CD Malaga','Las Palmas',1,1,
1970-71,Sabadell,'Real Madrid',1,1,
1970-71,Zaragoza,Sevilla,4,1,
1970-71,Espanol,'Las Palmas',2,1,
1970-71,'Sporting de Gijon','Atletico de Madrid',1,1,
