Away_Manager_Name,Away_Team_Country,Away_Team_Gender,Away_Team_Name,Away_Team_Score,Competition_Country,Competition_Name,Competition_Stage,Home_Manager_Name,Home_Team_Country,Home_Team_Gender,Home_Team_Name,Home_Team_Score,Referee_Country,Referee_Name,Season_Name,Stadium_Name
Marcelino García Toral,Spain,male,Valencia,1,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,2,Spain,Carlos del Cerro Grande,2017/2018,Spotify Camp Nou
Ernesto Valverde Tejedor,Spain,male,Barcelona,4,Spain,La Liga,Regular Season,Clarence Seedorf,Spain,male,RC Deportivo La Coruña,2,Spain,Ricardo De Burgos Bengoetxea,2017/2018,Estadio Abanca-Riazor
Zinédine Zidane,Spain,male,Real Madrid,2,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,2,Spain,Alejandro José Hernández Hernández,2017/2018,Spotify Camp Nou
José Ángel Ziganda Lacunza,Spain,male,Athletic Club,0,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,2,Spain,Santiago Jaime Latre,2017/2018,Spotify Camp Nou
Ernesto Valverde Tejedor,Spain,male,Barcelona,1,Spain,La Liga,Regular Season,Francisco Jémez Martín,Spain,male,Las Palmas,1,Spain,Antonio Miguel Mateu Lahoz,2017/2018,Estadio de Gran Canaria
Ernesto Valverde Tejedor,Spain,male,Barcelona,2,Spain,La Liga,Regular Season,José Luis Mendilibar Etxebarria,Spain,male,Eibar,0,Spain,Alejandro José Hernández Hernández,2017/2018,Estadio Municipal de Ipurúa
Francisco Martín Ayestarán Barandiarán,Spain,male,Las Palmas,0,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,3,Spain,José Luis Munuera Montero,2017/2018,Spotify Camp Nou
José Luis Mendilibar Etxebarria,Spain,male,Eibar,1,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,6,Spain,Alejandro José Hernández Hernández,2017/2018,Spotify Camp Nou
Enrique Setién Solar,Spain,male,Real Betis,0,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,2,Spain,Daniel Jesús Trujillo Suárez,2017/2018,Spotify Camp Nou
Javier Calleja Revilla,Spain,male,Villarreal,1,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,5,,,2017/2018,Spotify Camp Nou
Ernesto Valverde Tejedor,Spain,male,Barcelona,3,Spain,La Liga,Regular Season,Zinédine Zidane,Spain,male,Real Madrid,0,,,2017/2018,Estadio Santiago Bernabéu
Juan Ramón López Muñiz,Spain,male,Levante UD,0,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,3,,,2017/2018,Spotify Camp Nou
Ernesto Valverde Tejedor,Spain,male,Barcelona,5,Spain,La Liga,Regular Season,Eder Sarabia Armesto,Spain,male,Real Betis,0,,,2017/2018,Estadio Benito Villamarín
Ernesto Valverde Tejedor,Spain,male,Barcelona,2,Spain,La Liga,Regular Season,José Ángel Ziganda Lacunza,Spain,male,Athletic Club,0,Spain,Juan Martínez Munuera,2017/2018,San Mamés Barria
Enrique Sánchez Flores,Spain,male,Espanyol,0,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,5,Spain,Jesús Gil Manzano,2017/2018,Spotify Camp Nou
Asier Garitano Aguirrezábal,Spain,male,Leganés,1,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,3,Spain,Ricardo De Burgos Bengoetxea,2017/2018,Spotify Camp Nou
Ernesto Valverde Tejedor,Spain,male,Barcelona,1,Spain,La Liga,Regular Season,Enrique Sánchez Flores,Spain,male,Espanyol,1,Spain,Jesús Gil Manzano,2017/2018,RCDE Stadium
Juan Carlos Unzué Labiano,Spain,male,Celta Vigo,2,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,2,,,2017/2018,Spotify Camp Nou
Ernesto Valverde Tejedor,Spain,male,Barcelona,2,Spain,La Liga,Regular Season,Vincenzo Montella,Spain,male,Sevilla,2,Spain,José Luis González González,2017/2018,Estadio Ramón Sánchez Pizjuán
Ernesto Valverde Tejedor,Spain,male,Barcelona,1,Spain,La Liga,Regular Season,Juan Rubén Uría Corral,Spain,male,Valencia,1,Spain,Ignacio Iglesias Villanueva,2017/2018,Estadio de Mestalla
José Bordalás Jiménez,Spain,male,Getafe,0,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,0,Spain,David Fernández Borbalan,2017/2018,Spotify Camp Nou
Ernesto Valverde Tejedor,Spain,male,Barcelona,2,Spain,La Liga,Regular Season,Javier Calleja Revilla,Spain,male,Villarreal,0,,,2017/2018,Estadio de la Cerámica
Manuel Eduardo Berizzo,Spain,male,Sevilla,1,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,2,Spain,José Luis González González,2017/2018,Spotify Camp Nou
José Miguel González Martín del Campo,Spain,male,Málaga,0,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,2,,,2017/2018,Spotify Camp Nou
Ernesto Valverde Tejedor,Spain,male,Barcelona,3,Spain,La Liga,Regular Season,Pablo Javier Machín Díez,Spain,male,Girona,0,Spain,José María Sánchez Martínez,2017/2018,Estadi Municipal de Montilivi
Diego Pablo Simeone,Spain,male,Atlético Madrid,0,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,1,Spain,Jesús Gil Manzano,2017/2018,Spotify Camp Nou
Pablo Javier Machín Díez,Spain,male,Girona,1,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,6,,,2017/2018,Spotify Camp Nou
Ernesto Valverde Tejedor,Spain,male,Barcelona,1,Spain,La Liga,Regular Season,Diego Pablo Simeone,Spain,male,Atlético Madrid,1,Spain,Antonio Miguel Mateu Lahoz,2017/2018,"	Estádio Cívitas Metropolitano"
Abelardo Fernández Antuña,Spain,male,Deportivo Alavés,1,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,2,Spain,Ignacio Iglesias Villanueva,2017/2018,Spotify Camp Nou
Ernesto Valverde Tejedor,Spain,male,Barcelona,2,Spain,La Liga,Regular Season,José Bordalás Jiménez,Spain,male,Getafe,1,Spain,David Fernández Borbalan,2017/2018,Coliseum Alfonso Pérez
Imanol Alguacil Barrenetxea,Spain,male,Real Sociedad,0,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,1,Spain,José Luis Munuera Montero,2017/2018,Spotify Camp Nou
Ernesto Valverde Tejedor,Spain,male,Barcelona,3,Spain,La Liga,Regular Season,Asier Garitano Aguirrezábal,Spain,male,Leganés,0,Spain,Alberto Undiano Mallenco,2017/2018,Estadio Municipal de Butarque
Ernesto Valverde Tejedor,Spain,male,Barcelona,2,Spain,La Liga,Regular Season,Luis Francisco Zubeldía,Spain,male,Deportivo Alavés,0,Spain,Carlos del Cerro Grande,2017/2018,Estadio de Mendizorroza
Cristóbal Parralo Aguilera,Spain,male,RC Deportivo La Coruña,0,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,4,Spain,Antonio Miguel Mateu Lahoz,2017/2018,Spotify Camp Nou
Ernesto Valverde Tejedor,Spain,male,Barcelona,4,Spain,La Liga,Regular Season,Eusebio Sacristán Mena,Spain,male,Real Sociedad,2,Spain,José Luis González González,2017/2018,Reale Arena
Ernesto Valverde Tejedor,Spain,male,Barcelona,2,Spain,La Liga,Regular Season,Juan Carlos Unzué Labiano,Spain,male,Celta Vigo,2,Spain,David Fernández Borbalan,2017/2018,Abanca-Balaídos
Luis Enrique Martínez García,Spain,male,Barcelona,2,Spain,La Liga,Regular Season,Jorge Luis Sampaoli Moya,Spain,male,Sevilla,1,,,2016/2017,Estadio Ramón Sánchez Pizjuán
Luis Enrique Martínez García,Spain,male,Barcelona,3,Spain,La Liga,Regular Season,Joaquín de Jesús Caparrós Camino,Spain,male,Osasuna,0,,,2016/2017,Estadio El Sadar
Luis Enrique Martínez García,Spain,male,Barcelona,3,Spain,La Liga,Regular Season,Zinédine Zidane,Spain,male,Real Madrid,2,,,2016/2017,Estadio Santiago Bernabéu
Luis Enrique Martínez García,Spain,male,Barcelona,5,Spain,La Liga,Regular Season,Asier Garitano Aguirrezábal,Spain,male,Leganés,1,,,2016/2017,Estadio Municipal de Butarque
Mauricio Pellegrino,Spain,male,Deportivo Alavés,2,Spain,La Liga,Regular Season,Luis Enrique Martínez García,Spain,male,Barcelona,1,,,2016/2017,Spotify Camp Nou
Luis Enrique Martínez García,Spain,male,Barcelona,1,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Athletic Club,0,Spain,Antonio Miguel Mateu Lahoz,2016/2017,San Mamés Barria
Diego Pablo Simeone,Spain,male,Atlético Madrid,1,Spain,La Liga,Regular Season,Luis Enrique Martínez García,Spain,male,Barcelona,1,Spain,David Fernández Borbalan,2016/2017,Spotify Camp Nou
Gustavo Augusto Poyet Domínguez,Spain,male,Real Betis,2,Spain,La Liga,Regular Season,Luis Enrique Martínez García,Spain,male,Barcelona,6,Spain,Alberto Undiano Mallenco,2016/2017,Spotify Camp Nou
