Unnamed: 0,Home_Team,Away_team,Home_score,Away_score,Season,Result
39650,Stade fran?is,Racing Club de France,1,2,1959-1960,lose
106756,Cordoba,Valladolid,1,0,1974-75,win
11310,FC Sochaux-Montb?iard,CS Sedan,1,0,1966-1967,win
52052,ES Viry-Ch?illon,Chaumont FC,1,0,1987-1988,win
62869,Toulouse FC,Montlu?n Football,1,0,1972-1973,win
35317,Le Havre AC,LOSC Lille,1,0,1993-1994,win
50561,AS B?iers,CO Roubaix-Tourcoing,2,0,1962-1963,win
34923,LB Ch?eauroux,FC Istres,1,1,2003-2004,draw
21146,FC Nantes,RC Lens,2,0,1979-1980,win
108827,VfL Bochum,1. FC Nürnberg,1,1,2007,draw
37094,Olympique de Marseille,Olympique Lyonnais,1,1,2009-2010,draw
49846,FC Metz,FC Nantes,1,1,1959-1960,draw
52896,AS Monaco FC r?erve,FC S?e 34 r?erve,2,0,1985-1986,win
119970,RC Strasbourg Alsace,Montpellier HSC,2,0,1971-1972,win
103905,Chamois niortais FC,Tours FC,1,1,1968-1969,draw
26548,US Avranches,US Concarneau,1,0,2016-2017,win
106475,Valencia,Deportivo,1,0,2006-07,win
117180,Algeciras,Valladolid,1,1,1978-79,draw
108886,Eibar,'Sporting de Gijon',1,1,2013-14,draw
94875,Murcia,'Real Union',1,1,2009-10,draw
118201,'Las Palmas',Xerez,1,0,1990-91,win
65917,Evreux Athletic Club,AS Troyes Sainte-Savine,1,1,1971-1972,draw
11170,Chamois niortais FC,AS Beauvais Oise,1,0,1989-1990,win
92273,Badajoz,'Sporting de Gijon',0,1,2001-02,lose
63845,Pau FC,FC Canet 66,1,0,1987-1988,win
105713,FC Libourne,Olympique de Marseille,1,1,1983-1984,draw
108800,RC Strasbourg Alsace,AS Saint-Etienne,1,1,1969-1970,draw
29849,Grenoble Foot 38 r?erve,US Annemasse Ambilly Gaillard,1,0,1985-1986,win
52299,LB Ch?eauroux,Chamois niortais FC,1,0,2018-2019,win
15215,OC Ch?eaudun,FC Montceau Bourgogne,1,1,1990-1991,draw
21977,'Sporting de Gijon',Espanol,1,0,1987-88,win
43066,Association sportive Cannes,AAJ blois football,1,0,1981-1982,win
41586,Angoul?e Charente FC,Amicale sportive Muret football,1,1,1991-1992,draw
8789,Stade rapha?ois,Canet Roussillon FC,1,0,1986-1987,win
106545,'Sporting de Gijon','Atletico de Madrid',1,1,2009-10,draw
23872,Paris Saint-Germain,RC Lens,2,1,1982-1983,win
2486,FC Rouen 1899,LB Ch?eauroux,1,0,1975-1976,win
46967,Louhans-Cuiseaux FC,FC Montceau Bourgogne,1,1,1986-1987,draw
14358,Olympique de Marseille,AJ Auxerre,1,0,2005-2006,win
100876,Sporting Club de Bastia,Montpellier HSC,2,0,1997-1998,win
85777,Mestalla,Osasuna,1,1,1972-73,draw
116389,'Bilbao Athletic',Logrones,1,1,1986-87,draw
69624,FC Sochaux-Montb?iard,Olympique de Marseille,1,1,1970-1971,draw
56957,FC Metz,FC Sochaux-Montb?iard,1,0,1971-1972,win
106320,Torino,Lazio,1,0,2015/2016,win
96901,Mestalla,Murcia,0,0,1972-73,draw
89319,Louhans-Cuiseaux FC,Union montilienne sportive,1,1,1965-1966,draw
33461, ESTAC Troyes,Angers SCO,1,0,2021-2022,win
38495,'Linares CF','Recreativo de Huelva',0,1,1980-81,lose
110396,FC Gueugnon,N?es Olympique,1,1,1998-1999,draw
62194,Valladolid,'Celta de Vigo',1,0,1996-97,win
58500,OC Ch?eaudun,Olympique Saumur FC,1,1,1971-1972,draw
25626,Angers SCO,N?es Olympique,1,1,1969-1970,draw
73311,AS Saint-Etienne,Olympique Lyonnais,2,1,1965-1966,win
17499,Stade h?inois,SC Hazebrouck,1,0,1980-1981,win
12489,OGC Nice,N?es Olympique,2,0,1957-1958,win
109609,US Boulogne CO,FC Gueugnon,1,1,1974-1975,draw
99025,Paris FC,FC S?e 34,1,0,2006-2007,win
98120,FC Libourne,Amicale sportive Muret football,1,0,1991-1992,win
45687,Entente SSG,Association sportive Cannes,1,1,2006-2007,draw
43860,Olympique d'Al? en C?ennes,La Roche VF,1,0,1983-1984,win
27897,Logrones,'Real Sociedad',1,1,1994-95,draw
75843,Cordoba,Jaen,1,0,2001-02,win
28357,FC Metz,Sporting Club de Bastia,1,0,1966-1967,win
